1,2,3,4,5,6,7,8,9,10,11,12.00,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
#,VEHICLE_MAKE,VEHICLE_BODY,CUBIC_CAPACITY,REGISTRATION_NUMBER,YEAR_OF_MANUFACTURE,ENGINE_NUMBER,CHASSIS_NUMBER,NUMBER_OF _PASSENGERS,GOODS_CARRYING_CAPACITY,DATE_OF_PURCHASE,SUM_INSURED,COVER_TYPE,WINDSCREEN_AMOUNT,RADIO_CASSETTE_AMOUNT,ACCESSORIES_AMOUNT,BAGGAGE_COVER_AMOUNT,TPPD_AMOUNT,TOWING_CHARGE_AMOUNT,REPAIR_AUTHORITY_AMOUNT,MEDICAL_EXPENSES_AMOUNT,BASIC_PREMIUM_AMOUNT,THIRD_PARTY_CLAIM_AMOUNT,CERTIFICATE_NUMBER,REGISTRATION_NUMBER,COVER_TYPE,ROWID,D MARK,POLICY_CODE,VEHICLE_COLOUR,SPARE_WHEEL_AMOUNT,PASSENGER_LEGAL_LIABILITY_AMOUNT,LOG_BOOK_NUMBER,PRIVATE_CAR_CERTIFICATE_NUMBER
27,RENAULT KOLEOS,,,KCL387G,,,VF1VY0C0VUC568991,4,,,1800000.00,COM,100000,75000,,,20000000,,,,,7500,28460230,,,,,COMP/07/49864/07,,,,,
28,MITSUBISHI LANCER CY4,,,KCL808S,,,JMYSTCY4AFU000375,4,,,810000.00,COM,75000,75000,,,20000000,,,,,7500,28460231,,,,,COMP/07/49864/07,,,,,
29,MITSUBISHI LANCER CY4,,,KCL811S,,,JMYSTCY4AFU000519,4,,,810000.00,COM,75000,75000,,,20000000,,,,,7500,28460232,,,,,COMP/07/49864/07,,,,,
30,MITSUBISHI PAJERO SPORT KS1,,,KCN039M,,,MMBGUKS10HH005909,4,,,3600000.00,COM,100000,75000,,,20000000,,,,,7500,28460233,,,,,COMP/07/49864/07,,,,,
31,MITSUBISHI LANCER CY4 A/T,,,KCN930Z,,,JMYSTCY4AFU001184,4,,,1080000.00,COM,75000,75000,,,20000000,,,,,7500,28460234,,,,,COMP/07/49864/07,,,,,
32,MAHINDRA XUV 500 A/T,,,KCP746M,,,MA1YU4SPVG6C18801,4,,,1600000.00,COM,100000,75000,,,20000000,,,,,7500,28460238,,,,,COMP/07/49864/07,,,,,
33,RENAULT DUSTER,,,KCQ743J,,,MEEHSRSGMHB001502,4,,,800000.00,COM,75000,75000,,,20000000,,,,,7500,28460240,,,,,COMP/07/49864/07,,,,,
34,MITUSBISHI PAJERO V98,,,KCR091F,,,JMYLYV98WJJ000360,4,,,3800000.00,COM,100000,75000,,,20000000,,,,,7500,28460243,,,,,COMP/07/49864/07,,,,,
35,MITUSBISHI PAJERO V98,,,KCR142N,,,JMYLYV98WJJ000361,4,,,3800000.00,COM,100000,75000,,,20000000,,,,,7500,28460244,,,,,COMP/07/49864/07,,,,,
36,MAHINDRA XUV 500 A/T,,,KCR336A,,,MA1YU2SPVG6C10076,4,,,1800000.00,COM,100000,75000,,,20000000,,,,,7500,28460245,,,,,COMP/07/49864/07,,,,,
