1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
#,VEHICLE_MAKE,VEHICLE_BODY,CUBIC_CAPACITY,REGISTRATION_NUMBER,YEAR_OF_MANUFACTURE,ENGINE_NUMBER,CHASSIS_NUMBER,NUMBER_OF _PASSENGERS,GOODS_CARRYING_CAPACITY,DATE_OF_PURCHASE,SUM_INSURED,COVER_TYPE,WINDSCREEN_AMOUNT,RADIO_CASSETTE_AMOUNT,ACCESSORIES_AMOUNT,BAGGAGE_COVER_AMOUNT,TPPD_AMOUNT,TOWING_CHARGE_AMOUNT,REPAIR_AUTHORITY_AMOUNT,MEDICAL_EXPENSES_AMOUNT,BASIC_PREMIUM_AMOUNT,THIRD_PARTY_CLAIM_AMOUNT,CERTIFICATE_NUMBER,REGISTRATION_NUMBER,COVER_TYPE,ROWID,D MARK,POLICY_CODE,VEHICLE_COLOUR,SPARE_WHEEL_AMOUNT,PASSENGER_LEGAL_LIABILITY_AMOUNT,LOG_BOOK_NUMBER,PRIVATE_CAR_CERTIFICATE_NUMBER
28,M/BENZ,PRIME MOVER,,KDB071N,,,WDB9634232L989918,,,,5000000,COM,,,,,10000,75000,75000,75000,,20000000,13008261,KDB071N,,,,COMP/H/04249/H,,,,,
29,M/BENZ,PRIME MOVER,,KDC092T,,,WDB9634232L976763,,,,5100000,COM,,,,,10000,75000,75000,75000,,20000000,13008262,KDC092T,,,,COMP/H/04249/H,,,,,
30,M/BENZ,PRIME MOVER,,KDC096V,,,WDB9634232L966942,,,,5100000,COM,,,,,10000,75000,75000,75000,,20000000,13008263,KDC096V,,,,COMP/H/04249/H,,,,,
31,M/BENZ,PRIME MOVER,,KBK994L,,,WDB9442332L029572,,,,1700000,COM,,,,,10000,75000,75000,75000,,20000000,13008264,KBK994L,,,,COMP/H/04249/H,,,,,
32,M/BENZ,PRIME MOVER,,KBK995L,,,WDB9442332L021625,,,,1700000,COM,,,,,10000,75000,75000,75000,,20000000,13008265,KBK995L,,,,COMP/H/04249/H,,,,,
33,M/BENZ,PRIME MOVER,,KBK292U,,,WDB9442332L031622,,,,1700000,COM,,,,,10000,75000,75000,75000,,20000000,13008266,KBK292U,,,,COMP/H/04249/H,,,,,
34,M/BENZ,PRIME MOVER,,KCZ643Y,,,WDB9634232L908243,,,,3900000,COM,,,,,10000,75000,75000,75000,,20000000,13008375,KCZ643Y,,,,COMP/H/04249/H,,,,,
35,M/BENZ,PRIME MOVER,,KDK091F,,,WDB9634272L944389,,,,4000000,COM,,,,,10000,75000,75000,75000,,20000000,13008334,KDK091F,,,,COMP/H/04249/H,,,,,
36,M/BENZ,PRIME MOVER,,KDK097F,,,WDB9634272L931502,,,,4000000,COM,,,,,10000,75000,75000,75000,,20000000,13008335,KDK097F,,,,COMP/H/04249/H,,,,,
37,M/BENZ,PRIME MOVER,,KDK082F,,,WDB9634272L907158,,,,4000000,COM,,,,,10000,75000,75000,75000,,20000000,13008336,KDK082F,,,,COMP/H/04249/H,,,,,
38,M/BENZ,PRIME MOVER,,KDK098F,,,WDB9634232L992596,,,,4000000,COM,,,,,10000,75000,75000,75000,,20000000,13008337,KDK098F,,,,COMP/H/04249/H,,,,,
39,M/BENZ,PRIME MOVER,,KDB821S,,,WDB9634232L944048,,,,3800000,COM,,,,,10000,75000,75000,75000,,20000000,13008342,KDB821S,,,,COMP/H/04249/H,,,,,
40,M/BENZ,PRIME MOVER,,KDB822S,,,WDB9634232L906046,,,,3800000,COM,,,,,10000,75000,75000,75000,,20000000,13008343,KDB822S,,,,COMP/H/04249/H,,,,,
41,M/BENZ,PRIME MOVER,,KDB823S,,,WDB9634232L944049,,,,3800000,COM,,,,,10000,75000,75000,75000,,20000000,13008344,KDB823S,,,,COMP/H/04249/H,,,,,
42,M/BENZ,PRIME MOVER,,KDB820S,,,WDB9634232L956249,,,,3800000,COM,,,,,10000,75000,75000,75000,,20000000,13008345,KDB820S,,,,COMP/H/04249/H,,,,,
43,M/BENZ,PRIME MOVER,,KDD614G,,,WDB9634232L977705,,,,3800000,COM,,,,,10000,75000,75000,75000,,20000000,13008346,KDD614G,,,,COMP/H/04249/H,,,,,
44,M/BENZ,PRIME MOVER,,KCY193K,,,WDB9634232L818883,,,,3700000,COM,,,,,10000,75000,75000,75000,,20000000,13008347,KCY193K,,,,COMP/H/04249/H,,,,,
45,M/BENZ,PRIME MOVER,,KCY194K,,,WDB9634232L818133,,,,3700000,COM,,,,,10000,75000,75000,75000,,20000000,13008348,KCY194K,,,,COMP/H/04249/H,,,,,
46,M/BENZ,PRIME MOVER,,KCZ641Y,,,WDB9634232L889888,,,,3900000,COM,,,,,10000,75000,75000,75000,,20000000,13008374,KCZ641Y,,,,COMP/H/04249/H,,,,,
47,M/BENZ,PRIME MOVER,,KCH949Y,,,WDB9442332L541744,,,,2700000,COM,,,,,10000,75000,75000,75000,,20000000,13008244,KCH949Y,,,,COMP/H/04249/H,,,,,
48,M/BENZ,PRIME MOVER,,KCD084L,,,WDF94423328972368,,,,2700000,COM,,,,,10000,75000,75000,75000,,20000000,13008245,KCD084L,,,,COMP/H/04249/H,,,,,
49,M/BENZ,PRIME MOVER,,KBP911Q,,,WDB9440322L111335,,,,1800000,COM,,,,,10000,75000,75000,75000,,20000000,13008249,KBP911Q,,,,COMP/H/04249/H,,,,,
50,M/BENZ,PRIME MOVER,,KBT347Y,,,WDF9440322B966998,,,,1800000,COM,,,,,10000,75000,75000,75000,,20000000,13008250,KBT347Y,,,,COMP/H/04249/H,,,,,
51,M/BENZ,PRIME MOVER,,KDB063N,,,WDB96342320002333,,,,3150000,COM,,,,,10000,75000,75000,75000,,20000000,13008258,KDB063N,,,,COMP/H/04249/H,,,,,
52,M/BENZ,PRIME MOVER,,KDK062Q,,,WDB96342320091451,,,,4000000,COM,,,,,10000,75000,75000,75000,,20000000,13008338,KDK062Q,,,,COMP/H/04249/H,,,,,
53,M/BENZ,PRIME MOVER,,KDK060R,,,WDB9634232L992589,,,,4000000,COM,,,,,10000,75000,75000,75000,,20000000,13008339,KDK060R,,,,COMP/H/04249/H,,,,,
54,M/BENZ,PRIME MOVER,,KDK059Q,,,WDB96342320091458,,,,4000000,COM,,,,,10000,75000,75000,75000,,20000000,13008340,KDK059Q,,,,COMP/H/04249/H,,,,,
55,M/BENZ,PRIME MOVER,,KDK057Q,,,WDB96342320052654,,,,4000000,COM,,,,,10000,75000,75000,75000,,20000000,13008341,KDK057Q,,,,COMP/H/04249/H,,,,,
